age,marital_status,has_kids,income_bracket,life_event,recommended_insurance
56,married,0,high,new_baby,term_life
69,single,0,medium,new_job,whole_life
46,single,1,high,marriage,auto
32,single,1,medium,bought_home,home
60,single,1,low,divorce,whole_life
25,single,1,low,new_job,health
38,single,1,medium,new_baby,term_life
56,single,1,medium,bought_home,whole_life
36,single,0,low,new_job,health
40,divorced,1,medium,marriage,term_life
28,married,0,high,bought_home,home
28,married,1,medium,marriage,term_life
41,married,1,medium,none,term_life
53,married,1,medium,retirement,term_life
57,single,0,low,none,whole_life
41,married,0,medium,marriage,health
20,married,0,medium,bought_home,home
39,married,0,low,new_baby,term_life
19,married,0,medium,divorce,health
41,single,1,medium,new_baby,term_life
61,single,1,high,bought_home,whole_life
47,single,0,high,none,auto
55,married,0,low,divorce,whole_life
19,married,0,medium,bought_home,home
38,single,1,medium,marriage,term_life
50,widowed,1,high,new_baby,term_life
29,married,1,low,marriage,term_life
39,single,0,medium,divorce,health
61,single,1,medium,divorce,whole_life
42,single,1,low,new_baby,term_life
66,single,0,low,marriage,whole_life
44,single,1,medium,new_job,health
59,single,0,medium,marriage,whole_life
45,single,1,medium,divorce,health
33,single,0,medium,marriage,health
32,divorced,1,medium,bought_home,home
64,single,1,medium,none,whole_life
68,married,1,low,new_job,term_life
61,married,1,high,retirement,term_life
69,widowed,0,low,bought_home,whole_life
20,single,0,medium,none,health
54,single,0,low,retirement,whole_life
68,widowed,0,low,new_baby,term_life
24,divorced,1,medium,retirement,whole_life
38,divorced,0,low,bought_home,home
26,single,1,high,marriage,health
56,single,1,low,bought_home,whole_life
35,married,1,medium,retirement,term_life
21,widowed,0,medium,divorce,term_life
42,married,1,low,none,term_life
31,married,1,low,none,term_life
67,single,0,medium,retirement,whole_life
26,married,1,medium,none,term_life
43,single,1,medium,divorce,auto
19,single,0,medium,bought_home,home
37,married,1,medium,none,term_life
45,married,0,low,retirement,whole_life
64,single,0,medium,new_job,whole_life
24,single,0,high,new_job,health
61,married,0,medium,new_baby,term_life
25,single,0,medium,none,health
64,married,0,medium,bought_home,whole_life
52,single,1,medium,retirement,whole_life
31,married,1,medium,none,term_life
34,married,1,medium,marriage,term_life
53,single,0,high,divorce,health
67,single,0,low,none,whole_life
57,single,1,low,none,whole_life
21,single,0,medium,new_job,health
19,widowed,0,high,divorce,term_life
23,single,1,low,retirement,whole_life
59,divorced,0,low,none,whole_life
21,single,1,low,new_job,health
46,married,1,low,new_baby,term_life
35,married,0,medium,divorce,auto
43,married,0,medium,new_job,health
61,married,1,medium,new_job,term_life
51,married,0,medium,bought_home,home
27,single,0,low,new_job,health
53,widowed,1,low,bought_home,home
31,divorced,0,medium,none,term_life
48,widowed,1,high,none,term_life
65,single,1,high,new_baby,term_life
32,married,0,low,marriage,health
25,widowed,0,high,marriage,term_life
31,single,0,medium,marriage,auto
40,single,0,medium,bought_home,home
57,married,0,medium,divorce,whole_life
38,married,1,medium,divorce,term_life
33,divorced,0,medium,new_baby,term_life
62,single,1,low,divorce,whole_life
35,married,1,low,marriage,term_life
64,single,1,low,marriage,whole_life
41,single,1,medium,new_job,health
43,single,0,medium,divorce,auto
42,divorced,1,medium,none,term_life
62,married,1,low,none,term_life
58,married,0,high,new_job,whole_life
46,single,0,high,new_job,health
32,divorced,1,medium,new_job,health
62,single,0,high,none,whole_life
18,divorced,0,medium,marriage,term_life
42,married,0,high,new_job,health
24,single,0,low,new_baby,term_life
26,married,1,medium,bought_home,term_life
41,single,1,low,new_job,health
18,married,1,low,bought_home,term_life
61,married,0,low,retirement,whole_life
25,single,0,medium,new_job,health
41,divorced,0,medium,none,term_life
28,single,0,medium,divorce,health
68,married,0,low,new_job,whole_life
34,widowed,1,high,divorce,term_life
25,married,0,medium,retirement,whole_life
52,single,1,medium,new_baby,term_life
52,widowed,0,medium,divorce,term_life
50,married,0,low,bought_home,home
22,single,0,medium,marriage,health
59,single,1,high,new_job,whole_life
56,married,1,low,retirement,term_life
58,married,1,medium,retirement,term_life
45,married,0,high,divorce,health
24,divorced,0,medium,new_baby,term_life
26,married,1,low,none,term_life
25,single,0,low,new_job,health
29,single,1,low,retirement,whole_life
51,single,0,medium,new_baby,term_life
50,married,0,medium,marriage,auto
65,single,0,low,retirement,whole_life
40,married,0,high,new_baby,term_life
41,married,1,medium,none,term_life
54,divorced,0,low,none,health
52,single,0,medium,retirement,whole_life
61,divorced,0,medium,bought_home,whole_life
57,single,0,low,retirement,whole_life
39,divorced,1,low,divorce,health
44,single,1,high,new_job,health
52,single,1,medium,new_baby,term_life
18,married,1,medium,retirement,term_life
52,single,0,medium,new_job,health
54,single,1,low,divorce,health
64,married,0,low,new_job,whole_life
31,married,0,medium,retirement,whole_life
20,married,1,low,none,term_life
18,married,0,low,new_baby,term_life
22,married,1,high,new_baby,term_life
43,single,0,high,none,term_life
31,single,1,medium,bought_home,home
56,single,1,high,retirement,whole_life
44,widowed,1,low,new_baby,term_life
26,married,1,high,retirement,term_life
32,married,1,low,divorce,term_life
32,married,0,high,retirement,whole_life
43,widowed,1,high,new_job,health
59,single,0,medium,none,whole_life
30,married,1,high,bought_home,term_life
68,married,1,medium,retirement,term_life
49,married,1,low,bought_home,term_life
56,single,0,medium,bought_home,whole_life
66,divorced,0,medium,divorce,whole_life
69,widowed,1,low,marriage,whole_life
49,married,0,medium,none,health
21,married,0,high,bought_home,home
47,widowed,0,low,new_baby,term_life
54,married,1,medium,new_job,term_life
40,single,1,high,new_baby,term_life
56,married,0,high,divorce,whole_life
62,married,0,high,divorce,whole_life
32,married,0,medium,new_baby,term_life
60,married,1,high,none,term_life
46,widowed,1,medium,new_baby,term_life
53,widowed,0,low,retirement,whole_life
30,married,0,medium,new_baby,term_life
49,single,0,medium,new_job,health
24,widowed,1,low,new_job,health
68,divorced,1,medium,marriage,whole_life
39,single,0,medium,new_job,health
45,widowed,0,low,new_baby,term_life
19,divorced,0,medium,new_job,health
59,married,1,medium,none,term_life
62,married,0,medium,bought_home,whole_life
23,single,1,low,new_job,health
45,single,1,low,retirement,whole_life
45,single,0,medium,none,health
61,divorced,0,high,marriage,whole_life
61,single,0,low,retirement,whole_life
37,single,1,medium,new_baby,term_life
47,single,1,low,bought_home,home
28,married,1,medium,new_baby,term_life
45,widowed,1,high,bought_home,home
42,single,0,medium,bought_home,home
56,single,1,low,new_baby,term_life
50,married,1,medium,retirement,term_life
18,married,0,low,retirement,whole_life
44,single,1,medium,bought_home,home
69,married,1,medium,retirement,term_life
30,single,1,low,bought_home,home
58,single,1,low,bought_home,whole_life
20,married,1,medium,none,term_life
56,married,1,high,divorce,term_life
23,widowed,0,high,none,term_life
25,single,0,low,new_baby,term_life
44,married,1,medium,divorce,term_life
26,married,0,medium,new_job,health
54,single,0,medium,new_baby,term_life
50,married,0,medium,marriage,health
68,single,0,high,none,whole_life
59,widowed,1,high,retirement,whole_life
61,single,1,medium,none,whole_life
41,married,0,medium,retirement,whole_life
32,single,0,medium,divorce,health
49,widowed,0,low,marriage,health
49,married,1,medium,divorce,term_life
41,married,1,medium,marriage,term_life
58,single,0,medium,none,whole_life
69,married,1,low,retirement,term_life
66,single,1,low,divorce,whole_life
66,divorced,1,high,marriage,whole_life
69,single,1,low,bought_home,whole_life
29,single,0,medium,new_baby,term_life
56,single,1,low,new_baby,term_life
19,married,0,low,divorce,health
20,married,1,low,retirement,term_life
66,single,1,low,bought_home,whole_life
54,married,1,high,divorce,term_life
66,married,1,low,none,term_life
34,married,0,high,marriage,health
66,married,1,medium,none,term_life
19,married,1,medium,new_baby,term_life
19,married,1,medium,marriage,term_life
45,single,0,medium,divorce,auto
40,single,0,medium,none,auto
54,divorced,0,low,new_job,health
49,widowed,1,medium,retirement,whole_life
50,single,1,high,bought_home,home
18,single,0,high,bought_home,home
36,married,1,high,retirement,term_life
19,married,1,medium,new_job,term_life
61,single,1,medium,new_baby,term_life
43,single,1,medium,marriage,health
49,married,1,medium,retirement,term_life
23,married,1,low,new_job,term_life
49,single,0,medium,divorce,auto
21,single,1,low,bought_home,home
28,single,1,medium,new_job,health
34,married,1,high,new_baby,term_life
55,single,1,low,new_baby,term_life
41,single,1,low,none,health
22,married,0,low,retirement,whole_life
69,single,0,high,none,whole_life
51,married,0,medium,bought_home,home
23,single,0,medium,new_job,health
39,single,1,high,marriage,health
28,single,1,high,marriage,health
65,married,0,medium,new_baby,term_life
33,divorced,0,medium,marriage,term_life
50,divorced,1,medium,marriage,term_life
26,single,0,medium,bought_home,home
23,married,1,low,marriage,term_life
33,single,1,high,new_job,health
46,single,1,medium,marriage,auto
20,divorced,0,low,divorce,health
37,single,0,medium,marriage,auto
53,single,1,low,marriage,health
36,single,1,low,none,health
43,single,0,medium,new_job,health
20,single,1,low,new_baby,term_life
36,married,0,medium,none,auto
37,married,1,medium,retirement,term_life
49,divorced,0,low,new_job,health
24,divorced,1,high,divorce,term_life
69,single,0,low,new_job,whole_life
58,single,0,medium,retirement,whole_life
50,single,0,medium,retirement,whole_life
57,married,0,low,retirement,whole_life
56,single,1,low,bought_home,whole_life
35,married,1,medium,new_baby,term_life
57,married,0,high,marriage,whole_life
18,married,0,low,new_job,health
28,married,1,medium,bought_home,term_life
45,single,1,medium,marriage,auto
42,widowed,1,high,marriage,term_life
67,married,0,medium,divorce,whole_life
40,single,0,medium,retirement,whole_life
48,divorced,1,medium,new_baby,term_life
47,married,0,medium,divorce,term_life
59,divorced,1,high,none,whole_life
52,married,0,low,bought_home,home
24,married,1,medium,bought_home,term_life
33,single,0,high,new_baby,term_life
43,single,1,high,marriage,health
65,married,0,high,bought_home,whole_life
69,married,1,medium,new_baby,term_life
66,single,0,medium,bought_home,whole_life
19,single,1,medium,bought_home,home
18,divorced,1,medium,retirement,whole_life
65,widowed,1,low,none,whole_life
29,married,1,medium,retirement,term_life
22,single,1,medium,none,health
54,single,1,low,bought_home,home
49,single,0,medium,divorce,term_life
26,widowed,1,medium,marriage,term_life
58,single,0,high,bought_home,whole_life
52,married,0,low,none,health
36,single,0,low,none,health
65,married,0,medium,none,whole_life
33,married,1,low,bought_home,term_life
20,divorced,1,medium,new_baby,term_life
37,single,1,medium,divorce,auto
41,single,1,low,new_baby,term_life
50,single,0,medium,marriage,term_life
41,widowed,0,medium,bought_home,home
69,divorced,0,medium,none,whole_life
28,married,0,high,divorce,health
66,married,0,high,divorce,whole_life
25,married,0,medium,new_job,health
53,single,1,medium,marriage,health
55,widowed,1,medium,divorce,whole_life
57,married,1,high,bought_home,term_life
37,single,1,medium,none,auto
52,married,1,medium,none,term_life
65,single,0,high,divorce,whole_life
42,single,1,low,new_baby,term_life
52,married,1,high,marriage,term_life
42,single,0,low,none,health
46,married,0,medium,divorce,term_life
35,single,1,medium,none,term_life
63,single,0,high,divorce,whole_life
35,single,1,high,marriage,term_life
19,single,1,medium,divorce,health
52,married,0,medium,new_job,health
33,single,0,medium,divorce,health
58,married,0,high,divorce,whole_life
53,married,0,medium,bought_home,home
50,married,0,medium,marriage,health
21,widowed,1,low,bought_home,home
50,married,0,medium,divorce,term_life
31,single,1,medium,marriage,health
38,single,0,medium,new_job,health
65,single,1,low,marriage,whole_life
37,married,0,high,none,health
25,single,0,low,bought_home,home
24,married,1,medium,marriage,term_life
20,married,1,high,new_job,term_life
34,single,0,medium,retirement,whole_life
50,married,1,low,divorce,term_life
65,single,0,medium,marriage,whole_life
29,single,0,high,divorce,health
68,married,0,medium,new_baby,term_life
39,married,0,high,none,term_life
39,married,1,low,bought_home,term_life
63,married,0,medium,none,whole_life
47,single,0,medium,new_baby,term_life
55,divorced,1,high,new_baby,term_life
55,married,1,low,bought_home,term_life
62,married,0,high,marriage,whole_life
68,single,1,medium,new_baby,term_life
25,married,0,medium,retirement,whole_life
44,single,1,low,divorce,health
44,single,1,high,divorce,health
51,widowed,1,low,new_job,health
38,single,0,medium,new_baby,term_life
47,widowed,0,low,new_baby,term_life
50,married,0,high,retirement,whole_life
45,single,0,medium,none,term_life
64,married,0,medium,none,whole_life
50,divorced,1,low,divorce,health
22,married,0,medium,divorce,term_life
65,divorced,0,medium,marriage,whole_life
36,married,1,high,bought_home,term_life
21,married,0,high,retirement,whole_life
52,divorced,1,low,bought_home,home
66,single,0,medium,bought_home,whole_life
34,married,0,low,new_job,health
61,single,0,medium,bought_home,whole_life
45,widowed,0,low,new_job,health
47,widowed,1,medium,bought_home,home
46,single,0,medium,retirement,whole_life
63,married,1,medium,new_job,term_life
23,widowed,0,medium,none,term_life
52,single,0,medium,new_job,health
58,married,1,medium,new_job,term_life
54,widowed,0,low,retirement,whole_life
41,single,1,medium,retirement,whole_life
46,married,1,low,new_job,term_life
66,single,1,medium,new_baby,term_life
63,widowed,1,medium,retirement,whole_life
48,widowed,0,medium,marriage,term_life
52,widowed,0,low,marriage,health
50,married,0,medium,none,auto
69,divorced,1,high,bought_home,whole_life
38,divorced,1,medium,new_job,health
49,single,0,medium,new_baby,term_life
40,divorced,1,medium,none,term_life
50,single,0,low,new_job,health
20,married,1,medium,retirement,term_life
35,single,0,medium,marriage,term_life
42,single,1,low,divorce,health
59,single,1,low,new_baby,term_life
48,married,0,low,divorce,health
20,single,0,medium,marriage,health
57,married,0,high,bought_home,whole_life
63,single,0,low,bought_home,whole_life
41,single,0,medium,divorce,health
67,married,1,low,retirement,term_life
49,married,1,high,new_job,term_life
64,single,1,low,retirement,whole_life
39,married,0,medium,divorce,auto
40,divorced,1,medium,retirement,whole_life
19,married,1,medium,marriage,term_life
44,single,0,medium,new_baby,term_life
59,single,1,medium,retirement,whole_life
19,divorced,1,medium,marriage,term_life
43,single,0,low,new_baby,term_life
34,divorced,0,low,bought_home,home
57,married,0,medium,new_job,whole_life
50,widowed,0,low,divorce,health
26,married,1,low,bought_home,term_life
60,widowed,1,medium,new_job,whole_life
65,single,1,high,bought_home,whole_life
56,married,0,medium,none,whole_life
46,married,0,low,bought_home,home
59,married,1,low,marriage,term_life
43,married,1,high,new_baby,term_life
52,divorced,0,low,bought_home,home
67,widowed,1,low,retirement,whole_life
42,married,1,medium,new_job,term_life
41,married,0,medium,bought_home,home
30,married,0,medium,new_baby,term_life
24,married,1,low,marriage,term_life
53,single,0,low,none,health
62,single,0,high,new_job,whole_life
37,single,0,low,divorce,health
18,single,0,medium,new_baby,term_life
25,single,1,medium,divorce,health
63,single,1,medium,new_baby,term_life
33,single,0,medium,new_baby,term_life
31,single,1,low,marriage,health
29,widowed,1,medium,marriage,term_life
68,married,1,high,marriage,term_life
40,single,0,high,bought_home,home
32,married,0,low,retirement,whole_life
45,single,1,low,new_baby,term_life
51,widowed,1,high,new_job,health
19,married,0,medium,divorce,term_life
49,single,0,high,marriage,auto
40,married,0,low,bought_home,home
39,divorced,1,medium,marriage,term_life
68,widowed,1,medium,divorce,whole_life
42,married,0,medium,divorce,health
39,married,0,medium,new_baby,term_life
39,single,1,low,marriage,health
66,widowed,1,medium,divorce,whole_life
69,single,0,low,retirement,whole_life
59,widowed,1,medium,retirement,whole_life
23,married,1,high,marriage,term_life
32,married,0,medium,bought_home,home
60,married,1,high,divorce,term_life
54,single,0,low,new_baby,term_life
50,single,1,medium,new_baby,term_life
25,single,1,high,bought_home,home
61,single,1,low,new_baby,term_life
61,married,1,low,none,term_life
22,single,0,medium,marriage,health
56,single,1,low,new_baby,term_life
21,widowed,1,medium,retirement,whole_life
23,divorced,0,high,divorce,term_life
62,widowed,1,medium,new_job,whole_life
49,widowed,1,low,bought_home,home
69,single,0,medium,new_job,whole_life
47,single,1,medium,new_baby,term_life
64,married,1,low,new_job,term_life
52,married,0,medium,new_job,health
57,single,1,medium,none,whole_life
69,divorced,0,medium,retirement,whole_life
33,single,0,low,bought_home,home
30,single,0,medium,retirement,whole_life
67,married,1,low,none,term_life
59,married,1,low,none,term_life
47,married,0,high,new_job,health
36,single,0,medium,marriage,term_life
34,divorced,1,low,divorce,health
36,single,0,low,divorce,health
45,single,1,low,new_job,health
43,divorced,1,low,divorce,health
54,widowed,1,low,none,health
43,divorced,1,low,retirement,whole_life
40,divorced,0,medium,divorce,term_life
26,married,1,medium,bought_home,term_life
29,married,1,medium,new_job,term_life
18,single,1,medium,marriage,health
18,married,0,low,new_job,health
64,single,1,high,new_baby,term_life
51,single,0,high,new_job,health
49,married,0,high,none,health
65,married,0,high,retirement,whole_life
42,single,1,high,retirement,whole_life
57,single,1,medium,bought_home,whole_life
62,married,1,low,divorce,term_life
